account_number,billing_period_start,billing_period_end,meter_id,consumption_kwh,tariff_rate,total_amount_gbp,carbon_intensity_gco2_per_kwh
ACC-001,2024-01-01,2024-01-31,MTR-1001,4520,0.28,1265.60,233
ACC-001,2024-02-01,2024-02-29,MTR-1001,3980,0.28,1114.40,225
ACC-001,2024-03-01,2024-03-31,MTR-1001,4210,0.28,1178.80,218
ACC-002,2024-01-01,2024-01-31,MTR-1002,12450,0.27,3361.50,233
ACC-002,2024-02-01,2024-02-29,MTR-1002,11890,0.27,3210.30,225
ACC-002,2024-03-01,2024-03-31,MTR-1002,13200,0.27,3564.00,218
ACC-003,2024-01-01,2024-03-31,MTR-1003,38000,0.26,9880.00,228
ACC-004,2024-01-01,2024-01-31,MTR-1004,-200,0.28,-56.00,233
ACC-005,2024-01-01,2024-01-31,MTR-1005,5100,0.29,1479.00,
ACC-006,2024-01-15,2024-01-14,MTR-1006,3300,0.28,924.00,233
ACC-001,2024-04-01,2024-04-30,MTR-1001,3870,0.28,1083.60,215
ACC-001,2024-05-01,2024-05-31,MTR-1001,3650,0.28,1022.00,210
ACC-002,2024-04-01,2024-04-30,MTR-1002,11500,0.27,3105.00,215
ACC-002,2024-05-01,2024-05-31,MTR-1002,10980,0.27,2964.60,210
ACC-007,2024-02-01,2024-02-29,MTR-1007,7800,0.30,2340.00,231
ACC-007,2024-03-01,2024-03-31,MTR-1007,8100,0.30,2430.00,220
ACC-008,2024-01-01,2024-01-31,MTR-1008,2400,0.31,744.00,245
ACC-008,2024-02-01,2024-02-29,MTR-1008,2200,0.31,682.00,238
ACC-009,2024-03-01,2024-03-31,MTR-1009,15600,0.25,3900.00,212
ACC-001,2024-01-01,2024-01-31,MTR-1001,4520,0.28,1265.60,233
